City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Puerto Ayora,-0.7393,-90.3518,80.56,80,86,7.7,EC,4/16/22 21:11
1,Albany,42.6001,-73.9662,41.23,88,100,1.01,US,4/16/22 21:07
2,Campbell River,50.0163,-125.2446,54.45,25,29,2.77,CA,4/16/22 21:08
3,Makubetsu,45.3714,141.8211,42.6,80,79,20.54,JP,4/16/22 21:11
4,Tiksi,71.6872,128.8694,0,98,66,4.23,RU,4/16/22 21:11
5,Hilo,19.7297,-155.09,77.29,97,100,3.44,US,4/16/22 21:11
6,Georgetown,5.4112,100.3354,80.53,89,20,0,MY,4/16/22 21:08
7,Tasiilaq,65.6145,-37.6368,35.76,97,100,14.74,GL,4/16/22 21:11
8,Avarua,-21.2078,-159.775,80.65,83,20,5.75,CK,4/16/22 21:11
9,Busselton,-33.65,115.3333,54.88,81,16,9.53,AU,4/16/22 21:11
10,Salalah,17.0151,54.0924,80.69,89,40,2.3,OM,4/16/22 21:11
11,Bengkulu,-3.8004,102.2655,76.89,89,100,3,ID,4/16/22 21:11
12,Tornio,65.8481,24.1466,30.22,99,95,3.56,FI,4/16/22 21:11
13,Ushuaia,-54.8,-68.3,44.26,61,20,4.61,AR,4/16/22 21:08
14,Komsomolskiy,40.4272,71.7189,69.37,22,7,4.09,UZ,4/16/22 21:11
15,Eureka,40.8021,-124.1637,57.13,58,21,7,US,4/16/22 21:11
16,Kavaratti,10.5669,72.642,83.3,73,21,3.36,IN,4/16/22 21:11
17,Baruun-Urt,46.6806,113.2792,36.72,50,33,5.91,MN,4/16/22 21:11
18,Zgierz,51.8556,19.4062,40.91,65,0,10,PL,4/16/22 21:11
19,Seymchan,62.8833,152.4333,9.37,93,90,3.22,RU,4/16/22 21:11
20,Buala,-8.145,159.5921,81,79,100,5.08,SB,4/16/22 21:11
21,Atuona,-9.8,-139.0333,79.25,78,19,15.97,PF,4/16/22 21:11
22,Zalari,53.5584,102.5065,42.8,75,100,4.43,RU,4/16/22 21:11
23,Souillac,-20.5167,57.5167,76.33,85,34,14.32,MU,4/16/22 21:11
24,Kaohsiung,22.6163,120.3133,72.03,76,97,1.01,TW,4/16/22 21:11
25,Mezen,65.8522,44.24,26.8,96,98,5.79,RU,4/16/22 21:11
26,Geraldton,-28.7667,114.6,66.61,77,96,16.11,AU,4/16/22 21:11
27,Atasu,48.6814,71.6433,57.29,21,99,9.55,KZ,4/16/22 21:11
28,Hobart,-42.8794,147.3294,58.26,90,0,3.44,AU,4/16/22 21:08
29,Barrow,71.2906,-156.7887,5.02,78,0,20.71,US,4/16/22 21:11
30,Pevek,69.7008,170.3133,6.82,93,100,6.35,RU,4/16/22 21:11
31,Hammerfest,70.6634,23.6821,39.65,93,75,19.57,NO,4/16/22 21:11
32,Hasaki,35.7333,140.8333,43.2,61,100,8.81,JP,4/16/22 21:11
33,Pastavy,55.1168,26.8326,31.6,86,20,7.27,BY,4/16/22 21:11
34,Bilibino,68.0546,166.4372,15.35,91,79,2.53,RU,4/16/22 21:11
35,Puerto Leguizamo,-0.1934,-74.7819,84.58,68,99,1.79,CO,4/16/22 21:11
36,Yellowknife,62.456,-114.3525,12.56,51,65,11.01,CA,4/16/22 21:08
37,Sistranda,63.7256,8.834,42.76,86,99,5.55,NO,4/16/22 21:11
38,Coihaique,-45.5752,-72.0662,61.41,54,0,0,CL,4/16/22 21:11
39,Port Alfred,-33.5906,26.891,62.19,84,100,7,ZA,4/16/22 21:11
40,Qaanaaq,77.484,-69.3632,0,79,58,4.81,GL,4/16/22 21:11
41,Awjilah,29.1081,21.2869,75.74,22,46,4.63,LY,4/16/22 21:11
42,Durres,41.3231,19.4414,60.98,81,100,7.83,AL,4/16/22 21:11
43,Tuktoyaktuk,69.4541,-133.0374,3.54,79,34,4.92,CA,4/16/22 21:11
44,Sibu,2.3,111.8167,74.07,99,96,2.17,MY,4/16/22 21:11
45,East London,-33.0153,27.9116,61.81,78,100,8.37,ZA,4/16/22 21:11
46,Mahebourg,-20.4081,57.7,76.24,83,48,15.39,MU,4/16/22 21:11
47,Jamestown,42.097,-79.2353,49.51,38,0,18.41,US,4/16/22 21:12
48,Thompson,55.7435,-97.8558,26.06,57,100,2.71,CA,4/16/22 21:12
49,Aklavik,68.2191,-135.0107,11.79,78,16,11.83,CA,4/16/22 21:12
50,Mataura,-46.1927,168.8643,42.48,85,75,2.77,NZ,4/16/22 21:09
51,Nikolskoye,59.7035,30.7861,35.71,82,70,2.86,RU,4/16/22 21:12
52,Bluff,-46.6,168.3333,42.8,79,97,8.46,NZ,4/16/22 21:12
53,Saskylakh,71.9167,114.0833,11.7,92,99,15.39,RU,4/16/22 21:12
54,Nabire,-3.3667,135.4833,75.79,93,98,2.51,ID,4/16/22 21:12
55,Bubaque,11.2833,-15.8333,75.83,72,6,23.51,GW,4/16/22 21:12
56,Bredasdorp,-34.5322,20.0403,59.14,73,0,13.18,ZA,4/16/22 21:12
57,Lagoa,39.05,-27.9833,59.05,76,31,10.78,PT,4/16/22 21:12
58,Bambous Virieux,-20.3428,57.7575,76.21,83,46,15.57,MU,4/16/22 21:12
59,Naze,28.3667,129.4833,60.91,68,81,6.33,JP,4/16/22 21:12
60,Castro,-24.7911,-50.0119,57.42,78,0,2.91,BR,4/16/22 21:12
61,Rikitea,-23.1203,-134.9692,77.79,72,5,13.58,PF,4/16/22 21:13
62,Teguldet,57.3064,88.1667,45.09,83,100,8.95,RU,4/16/22 21:13
63,Airai,-8.9266,125.4092,59.14,92,64,2.35,TL,4/16/22 21:13
64,Bethel,41.3712,-73.414,66.85,55,20,8.05,US,4/16/22 21:13
65,Ancud,-41.8697,-73.8203,63.23,72,23,2.77,CL,4/16/22 21:13
66,Hermanus,-34.4187,19.2345,58.8,76,2,17.67,ZA,4/16/22 21:13
67,Santa Pola,38.1917,-0.5658,70.32,68,0,0,ES,4/16/22 21:13
68,Khatanga,71.9667,102.5,17.56,97,99,6.6,RU,4/16/22 21:13
69,Basco,20.4487,121.9702,76.24,76,31,16.58,PH,4/16/22 21:13
70,Zaterechnyy,44.7931,45.2097,52.25,74,16,7.72,RU,4/16/22 21:13
71,Punta Arenas,-53.15,-70.9167,46.51,76,40,10.36,CL,4/16/22 21:13
72,Olafsvik,64.8945,-23.7142,43.84,98,100,11.95,IS,4/16/22 21:13
73,Lompoc,34.6391,-120.4579,66.61,73,75,13,US,4/16/22 21:13
74,Usinsk,65.9939,57.5281,13.33,95,28,4.81,RU,4/16/22 21:13
75,Perth,-31.9333,115.8333,58.66,86,0,6.91,AU,4/16/22 21:08
76,Chittaurgarh,24.8833,74.6333,80.06,16,0,6.22,IN,4/16/22 21:13
77,Seoul,37.5683,126.9778,44.04,67,0,3.38,KR,4/16/22 21:13
78,Saint-Philippe,-21.3585,55.7679,74.79,81,57,10.98,RE,4/16/22 21:13
79,Sambava,-14.2667,50.1667,75.78,86,3,11.63,MG,4/16/22 21:13
80,Merauke,-8.4667,140.3333,76.86,90,100,7.81,ID,4/16/22 21:13
81,Bodh Gaya,24.7,84.9833,83.68,15,13,1.66,IN,4/16/22 21:13
82,Carnarvon,-24.8667,113.6333,75.27,78,40,17.27,AU,4/16/22 21:13
83,Cape Town,-33.9258,18.4232,60.91,69,0,11.99,ZA,4/16/22 21:11
84,Cayenne,4.9333,-52.3333,82.44,1,40,11.5,GF,4/16/22 21:10
85,Kapaa,22.0752,-159.319,80.58,90,75,17.27,US,4/16/22 21:09
86,Longyearbyen,78.2186,15.6401,22.84,74,75,10.36,SJ,4/16/22 21:13
87,Naryshkino,52.9678,35.7268,33.82,97,100,13.29,RU,4/16/22 21:13
88,Huarmey,-10.0681,-78.1522,71.87,73,70,12.95,PE,4/16/22 21:13
89,Umm Lajj,25.0213,37.2685,80.29,43,0,5.46,SA,4/16/22 21:13
90,Redcliffe,-27.2307,153.0973,65.44,82,0,11.5,AU,4/16/22 21:13
91,Butaritari,3.0707,172.7902,81.14,78,34,14.54,KI,4/16/22 21:13
92,Ossora,59.2353,163.0719,25.36,75,100,5.01,RU,4/16/22 21:14
93,Arraial Do Cabo,-22.9661,-42.0278,73.26,78,20,10.36,BR,4/16/22 21:14
94,Mar Del Plata,-38.0023,-57.5575,66.22,86,0,8.99,AR,4/16/22 21:14
95,Ahipara,-35.1667,173.1667,65.25,79,100,12.75,NZ,4/16/22 21:14
96,Namibe,-15.1961,12.1522,74.44,71,25,5.46,AO,4/16/22 21:14
97,Voh,-20.9667,164.7,75.34,78,0,2.77,NC,4/16/22 21:14
98,Luderitz,-26.6481,15.1594,64.17,57,0,13.76,NA,4/16/22 21:14
99,Gaoua,10.2992,-3.2508,78.75,61,100,2.64,BF,4/16/22 21:14
100,Rampura,30.25,75.2333,81.21,19,4,7.7,IN,4/16/22 21:14
101,Agadez,19.75,10.25,83.05,9,94,12.66,NE,4/16/22 21:14
102,Ketchikan,55.3422,-131.6461,50.47,34,20,8.05,US,4/16/22 21:14
103,Victoria,22.2855,114.1577,71.19,75,100,13,HK,4/16/22 21:14
104,Vila Franca Do Campo,37.7167,-25.4333,61.21,83,100,8.34,PT,4/16/22 21:11
105,New Norfolk,-42.7826,147.0587,57.92,76,100,2.51,AU,4/16/22 21:14
106,Acapulco,16.8634,-99.8901,85.82,66,0,13.8,MX,4/16/22 21:09
107,Port Elizabeth,-33.918,25.5701,63.1,86,97,5.99,ZA,4/16/22 21:14
108,Kargopol,61.5071,38.9456,21.45,97,23,2.71,RU,4/16/22 21:14
109,Kloulklubed,7.0419,134.2556,82.08,73,44,1.59,PW,4/16/22 21:14
110,Vila Velha,-20.3297,-40.2925,76.95,75,75,10,BR,4/16/22 21:14
111,Hualmay,-11.0964,-77.6139,70.39,74,98,13.18,PE,4/16/22 21:14
112,Walvis Bay,-22.9575,14.5053,61.61,72,1,3.44,NA,4/16/22 21:14
113,Dhidhdhoo,6.8833,73.1,84.16,72,58,7.38,MV,4/16/22 21:14
114,Pradera,3.4211,-76.2447,73.56,86,100,3,CO,4/16/22 21:14
115,Pochutla,15.7432,-96.4661,91.81,41,36,10.18,MX,4/16/22 21:14
116,Qasigiannguit,68.8193,-51.1922,17.85,87,6,3.85,GL,4/16/22 21:14
117,Leshukonskoye,64.8989,45.7622,20.48,95,34,4.72,RU,4/16/22 21:14
118,Pervomayskoye,43.919,46.7102,47.5,78,1,7.23,RU,4/16/22 21:14
119,Balapur,20.6667,76.7667,87.6,19,0,8.32,IN,4/16/22 21:14
120,Najran,17.4924,44.1277,79.45,28,88,5.41,SA,4/16/22 21:14
121,Steinbach,50.1667,8.5667,50.09,45,0,12.66,DE,4/16/22 21:14
122,Sasolburg,-26.8136,27.817,54.45,92,100,11.41,ZA,4/16/22 21:10
123,Ahuimanu,21.4447,-157.8378,79.2,79,75,11.5,US,4/16/22 21:14
124,Lazarev,52.225,141.5131,27.73,97,100,6.55,RU,4/16/22 21:14
125,Feicheng,35.2606,117.9675,47.26,37,71,2.68,CN,4/16/22 21:14
126,Vaini,-21.2,-175.2,84.36,74,40,8.05,TO,4/16/22 21:14
127,Roald,62.5833,6.1333,45.52,81,100,8.05,NO,4/16/22 21:14
128,The Valley,18.217,-63.0578,80.82,75,39,23.04,AI,4/16/22 21:14
129,Farah,32.5,62.5,69.75,27,0,1.54,AF,4/16/22 21:14
130,Lusambo,-4.9667,23.45,70.59,97,99,1.5,CD,4/16/22 21:14
131,Hami,42.8,93.45,50.45,25,0,7.09,CN,4/16/22 21:14
132,Rancho Palos Verdes,33.7445,-118.387,71.92,75,40,12.66,US,4/16/22 21:14
133,Olinda,-8.0089,-34.8553,83.93,74,40,6.91,BR,4/16/22 21:10
134,Castelbuono,37.932,14.0886,55.62,63,74,1.21,IT,4/16/22 21:14
135,Cascais,38.6979,-9.4215,61.93,66,98,15.99,PT,4/16/22 21:15
136,Ribeira Grande,38.5167,-28.7,60.62,78,34,14.74,PT,4/16/22 21:15
137,Yenagoa,4.9247,6.2642,78.48,87,26,4.85,NG,4/16/22 21:15
138,Naples,40.8333,14.25,66.15,44,0,17.27,IT,4/16/22 21:15
139,Krasnaya Gora,52.9995,31.6023,36.21,97,100,15.84,RU,4/16/22 21:15
140,Zapolyarnyy,69.4154,30.8136,38.48,95,100,21.14,RU,4/16/22 21:15
141,Santa Maria Da Vitoria,-13.3947,-44.1886,73.76,91,100,3.78,BR,4/16/22 21:15
142,Nadym,65.5333,72.5167,14.56,92,100,16.58,RU,4/16/22 21:15
143,Polson,47.6936,-114.1632,37.49,79,100,8.01,US,4/16/22 21:15
144,Cabo San Lucas,22.8909,-109.9124,89.62,17,75,4.61,MX,4/16/22 21:10
145,Ponta Delgada,37.7333,-25.6667,61.52,88,20,9.22,PT,4/16/22 21:15
146,Ilulissat,69.2167,-51.1,17.62,57,75,9.22,GL,4/16/22 21:15
147,Ovre Ardal,61.3167,7.8,32.18,95,100,2.15,NO,4/16/22 21:15
148,Talnakh,69.4865,88.3972,16.21,93,100,8.68,RU,4/16/22 21:15
149,Hithadhoo,-0.6,73.0833,82.98,67,56,6.62,MV,4/16/22 21:15
150,Stornoway,58.2093,-6.3865,51.04,80,40,11.5,GB,4/16/22 21:15
151,Rio Grande,-32.035,-52.0986,68.11,65,94,8.72,BR,4/16/22 21:15
152,Chokurdakh,70.6333,147.9167,0,100,100,2.66,RU,4/16/22 21:15
153,Sergeyevka,53.88,67.4158,45.97,66,97,6.78,KZ,4/16/22 21:15
154,Constitucion,-35.3333,-72.4167,61.61,64,3,8.48,CL,4/16/22 21:15
155,Grants Pass,42.439,-123.3284,53.11,64,40,8.05,US,4/16/22 21:15
156,Narsaq,60.9167,-46.05,39.42,76,3,3.96,GL,4/16/22 21:15
157,Sabang,5.8933,95.3214,83.21,68,100,3.33,ID,4/16/22 21:15
158,Kahului,20.8947,-156.47,73.42,86,100,16.11,US,4/16/22 21:15
159,Bekovo,52.4663,43.712,50.45,80,100,12.46,RU,4/16/22 21:15
160,Winneba,5.3511,-0.6231,79.36,82,96,11.61,GH,4/16/22 21:15
161,Novoselitskoye,44.7508,43.4369,48.99,71,3,6.33,RU,4/16/22 21:15
162,Asau,46.4333,26.4,41.95,94,100,7.34,RO,4/16/22 21:15
163,Yulara,-25.2406,130.9889,69.64,52,4,12.66,AU,4/16/22 21:15
164,Awbari,26.5921,12.7805,69.19,28,0,16.69,LY,4/16/22 21:15
165,Arroyo,41.6096,-4.7969,57.24,58,0,9.22,ES,4/16/22 21:15
166,Jaisalmer,26.9147,70.9181,84.36,35,28,17.52,IN,4/16/22 21:15
167,Aksu,41.1231,80.2644,53.11,17,3,6.85,CN,4/16/22 21:15
168,Strezhevoy,60.7333,77.5889,33.69,89,100,10.42,RU,4/16/22 21:15
169,Rocha,-34.4833,-54.3333,60.85,75,18,7.16,UY,4/16/22 21:15
170,Yanam,16.7333,82.2167,79.12,94,13,4.83,IN,4/16/22 21:15
171,Candelaria,13.9311,121.4233,74.61,95,99,4.52,PH,4/16/22 21:15
172,Kribi,2.95,9.9167,78.06,89,100,10.27,CM,4/16/22 21:15
173,Zhezkazgan,47.8043,67.7144,54.99,69,47,17.43,KZ,4/16/22 21:15
174,Aykhal,66,111.5,25.34,96,100,10,RU,4/16/22 21:15
175,Broome,42.2506,-75.833,42.01,81,100,4.61,US,4/16/22 21:15
176,Kawhia,-38.0651,174.8183,59.45,65,95,11.23,NZ,4/16/22 21:15
177,Vallenar,-28.5708,-70.7581,73.58,37,0,6.58,CL,4/16/22 21:15
178,Port Keats,-14.25,129.55,77.31,71,10,6.44,AU,4/16/22 21:16
179,Panjab,34.388,67.0233,52.54,38,98,3.04,AF,4/16/22 21:16
180,Sitka,57.0531,-135.33,42.69,61,40,6.91,US,4/16/22 21:16
181,Kaduy,59.2,37.15,25.03,95,7,4.52,RU,4/16/22 21:16
182,Kodiak,57.79,-152.4072,36.91,87,100,14.97,US,4/16/22 21:16
183,Upernavik,72.7868,-56.1549,0,90,30,13.02,GL,4/16/22 21:16
184,Atar,20.5169,-13.0499,84.92,10,0,4.59,MR,4/16/22 21:16
185,Kapoeta,4.7717,33.5903,70.81,82,94,1.97,SS,4/16/22 21:16
186,Husavik,66.0449,-17.3389,43.54,84,100,13.51,IS,4/16/22 21:16
187,Pemalang,-6.9,109.3667,78.64,83,74,3.47,ID,4/16/22 21:16
188,Te Anau,-45.4167,167.7167,42.13,86,96,0.98,NZ,4/16/22 21:16
189,Adrar,20.5022,-10.0711,83.5,12,0,12.37,MR,4/16/22 21:16
190,Krasnoarmeysk,51.0239,45.6969,51.51,69,100,8.25,RU,4/16/22 21:16
191,Bahia Honda,22.9036,-83.1592,83.75,61,11,11.1,CU,4/16/22 21:16
192,Frontera,26.9333,-101.45,99.32,26,40,12.66,MX,4/16/22 21:16
193,San Patricio,28.017,-97.5169,91.49,55,90,14.97,US,4/16/22 21:16
194,Bilma,18.6853,12.9164,89.24,9,9,4.54,NE,4/16/22 21:16
195,Jhajjar,28.6063,76.6565,82.51,14,0,4.29,IN,4/16/22 21:16
196,Hovd,48.0056,91.6419,39.27,17,0,3.87,MN,4/16/22 21:16
197,Pitimbu,-7.4706,-34.8086,82.99,80,8,8.25,BR,4/16/22 21:16
198,Mount Isa,-20.7333,139.5,62.37,48,4,0,AU,4/16/22 21:16
199,Santa Cruz,-17.8,-63.1667,72.86,60,75,11.5,BO,4/16/22 21:16
200,Fomboni,-12.28,43.7425,83.66,71,5,2.77,KM,4/16/22 21:16
201,Oyama,36.3,139.8,53.58,57,98,1.63,JP,4/16/22 21:16
202,Brownsville,25.9018,-97.4975,92.08,59,0,16.11,US,4/16/22 21:13
203,Tigre,-34.426,-58.5796,69.26,68,0,10.36,AR,4/16/22 21:16
204,Lebu,-37.6167,-73.65,57.69,76,11,13.8,CL,4/16/22 21:16
205,Laranjeiras Do Sul,-25.4078,-52.4161,57.63,76,0,1.92,BR,4/16/22 21:16
206,Bowen,-20.0167,148.2333,71.22,78,58,10.51,AU,4/16/22 21:16
207,Codrington,-38.2667,141.9667,67.17,42,100,19.64,AU,4/16/22 21:16
208,Jalu,29.0331,21.5482,78.62,19,82,11.12,LY,4/16/22 21:16
209,Dikson,73.5069,80.5464,11.16,94,100,16.11,RU,4/16/22 21:16
210,Lavrentiya,65.5833,-171,28.2,93,99,10.74,RU,4/16/22 21:16
211,Mumford,5.2618,-0.759,79.16,82,100,12.66,GH,4/16/22 21:16
212,Leningradskiy,69.3833,178.4167,6.21,94,64,8.32,RU,4/16/22 21:17
213,Wanxian,30.8039,108.3897,51.49,96,100,2.06,CN,4/16/22 21:17
214,Saint-Francois,46.4154,3.9054,54.84,58,0,9.22,FR,4/16/22 21:17
215,Haines Junction,60.7522,-137.5108,37.35,41,100,3.44,CA,4/16/22 21:17
216,Tabriz,38.08,46.2919,44.06,57,20,6.91,IR,4/16/22 21:17
217,Manga,11.6636,-1.0731,84.51,46,100,4.99,BF,4/16/22 21:17
218,Torbay,47.6666,-52.7314,54.37,46,20,21.85,CA,4/16/22 21:17
219,Comodoro Rivadavia,-45.8667,-67.5,57.06,67,0,14.97,AR,4/16/22 21:15
220,General Roca,-39.0333,-67.5833,71.62,36,4,15.99,AR,4/16/22 21:17
221,Cine,37.6117,28.0614,60.3,42,58,3.91,TR,4/16/22 21:17
222,Prabumulih,-3.45,104.25,72.7,99,94,2.37,ID,4/16/22 21:17
223,Chuy,-33.6971,-53.4616,63.43,68,65,7.54,UY,4/16/22 21:17
224,Ingham,42.6,-84.3833,44.17,60,100,17.27,US,4/16/22 21:17
225,Vostok,46.4856,135.8833,29.1,73,4,8.05,RU,4/16/22 21:18
226,Severo-Kurilsk,50.6789,156.125,31.24,79,100,14,RU,4/16/22 21:18
227,Yima,34.7381,111.8839,47.8,34,98,2.95,CN,4/16/22 21:18
228,Arkhara,49.4212,130.0842,30.47,90,42,11.43,RU,4/16/22 21:18
229,Ikot Ekpene,5.1794,7.7108,80.1,82,18,5.75,NG,4/16/22 21:18
230,Kisangani,0.5167,25.2,69.71,94,51,1.9,CD,4/16/22 21:18
231,Sao Filipe,14.8961,-24.4956,71.38,78,41,12.17,CV,4/16/22 21:18
232,Nantucket,41.2835,-70.0995,60.85,79,40,18.41,US,4/16/22 21:18
233,Da Nang,16.0678,108.2208,78.78,89,40,5.75,VN,4/16/22 21:18
234,Iquique,-20.2208,-70.1431,68.04,73,4,8.88,CL,4/16/22 21:14
235,Nova Prata,-28.7839,-51.61,60.28,79,0,3.74,BR,4/16/22 21:18
236,Inuvik,68.3499,-133.7218,14.86,37,20,4.61,CA,4/16/22 21:18
237,Ixtapa,20.7,-105.2,79.83,61,40,9.22,MX,4/16/22 21:18
238,Maniitsoq,65.4167,-52.9,23.72,64,24,7.36,GL,4/16/22 21:18
239,Fortuna,40.5982,-124.1573,55.92,57,20,12.66,US,4/16/22 21:18
240,Svetlyy,54.675,20.1347,36.97,83,87,8.19,RU,4/16/22 21:18
241,Parrita,9.5201,-84.3225,85.26,70,100,6.02,CR,4/16/22 21:18
242,Egvekinot,66.3167,-179.1667,17.08,90,100,10.36,RU,4/16/22 21:18
243,Tayu,-6.5397,111.0518,77.56,89,67,4.79,ID,4/16/22 21:18
244,Flinders,-34.5833,150.8552,57.38,92,2,4,AU,4/16/22 21:18
245,Itarema,-2.9248,-39.9167,79.47,82,43,6.98,BR,4/16/22 21:13
246,Bonavista,48.6499,-53.1147,43.11,74,4,14.2,CA,4/16/22 21:18
247,Chicama,-7.8447,-79.1469,74.95,65,60,10.29,PE,4/16/22 21:18
248,Rawson,-43.3002,-65.1023,57.88,57,0,11.83,AR,4/16/22 21:18
249,Lima,-12.0432,-77.0282,69.39,74,0,14.97,PE,4/16/22 21:14
250,Carmen,18.6333,-91.8333,89.64,62,0,11.5,MX,4/16/22 21:16
251,Vardo,70.3705,31.1107,39.45,84,100,25.9,NO,4/16/22 21:18
252,Labuhan,-6.8844,112.2051,78.82,87,96,5.28,ID,4/16/22 21:18
253,Faya,18.3851,42.4509,66.72,44,6,5.41,SA,4/16/22 21:18
254,Abu Samrah,35.3029,37.1841,60.85,45,65,1.39,SY,4/16/22 21:18
255,Nador,35.174,-2.9287,64.65,63,0,3.44,MA,4/16/22 21:18
256,Ginda,30.6945,78.4932,54.09,38,1,8.37,IN,4/16/22 21:18
257,Saint George,37.1041,-113.5841,81.19,13,0,33.38,US,4/16/22 21:18
258,Dunedin,-45.8742,170.5036,47.77,72,68,3.49,NZ,4/16/22 21:18
259,Moussoro,13.6408,16.4901,88.79,40,36,13.6,TD,4/16/22 21:18
260,Port Hedland,-20.3167,118.5667,73.45,64,13,4.61,AU,4/16/22 21:18
261,Piacabucu,-10.4056,-36.4344,81.86,81,6,12.84,BR,4/16/22 21:18
262,Kalengwa,-13.4659,25.0027,64.4,96,100,4.03,ZM,4/16/22 21:18
263,Kalmunai,7.4167,81.8167,79.29,87,79,9.71,LK,4/16/22 21:18
264,Nanakuli,21.3906,-158.1547,80.46,73,100,8.05,US,4/16/22 21:18
265,Sao Jose Da Coroa Grande,-8.8978,-35.1478,81.39,82,6,10.6,BR,4/16/22 21:18
266,Kalawit,8.0667,122.5167,77.58,89,50,1.68,PH,4/16/22 21:18
267,Severo-Yeniseyskiy,60.3725,93.0408,38.73,91,100,12.28,RU,4/16/22 21:18
268,Iranshahr,27.2025,60.6848,84.54,20,0,4.61,IR,4/16/22 21:18
269,Katsuura,35.1333,140.3,53.89,68,100,9.6,JP,4/16/22 21:18
270,Ellensburg,46.9965,-120.5479,45.86,56,100,8.99,US,4/16/22 21:16
271,Alice Springs,-23.7,133.8833,71.15,32,40,5.75,AU,4/16/22 21:18
272,Negotin,44.2264,22.5308,51.08,75,100,10.85,RS,4/16/22 21:19
273,Quzhou,28.9594,118.8686,50.97,79,100,3.69,CN,4/16/22 21:19
274,Mercedes,-34.6515,-59.4307,68.79,48,46,4.59,AR,4/16/22 21:19
275,Ambilobe,-13.2,49.05,72.48,88,7,3.87,MG,4/16/22 21:19
276,Tuatapere,-46.1333,167.6833,45.48,79,75,4.54,NZ,4/16/22 21:19
277,Zhaoyang,42.682,126.0305,41.88,50,48,6.55,CN,4/16/22 21:19
